facilitate, 가능하게 하다
incompetent, 무능한
infinite, 무한
emigre, 이주하다
dominance, 권세
intellectual, 지적인
dietary, 식이 요법
pore, 기공
deterrence, 제지
predominate, 지배하다
prerequisite, 전제조건
payoff, 지불
unforeseen, 뜻하지 않은
simulation, 시뮬레이션
signify, 의미하다
predate, 이전의
fatality, 숙명
indistinguishable, 구분할 수 없는
salient, 현저한
ingest, 섭취하다
transitional, 과도기적
hydrocarbon, 탄화수소
subordinate, 부하
astronomer, 천문학자
suffocation, 질식
arduous, 어려운
speculation, 추측
dedicate, 전념하다
prey, 먹이
seduce, 추기다
disqualify, 실격하다
inject, 주입하다
prestigious, 권위있는
outpatient, 외래 환자
inequity, 불공정
pervasive, 퍼지는
guarantor, 보증인
surpass, 낫다
substantial, 상당한
constrain, 억누르다
allegiance, 충성
void, 무효의
profound, 심오한
amidst, 가운데
engender, 낳다
audacious, 대담한
allocate, 할당하다
corollary, 추론
forerunner, 선구자
commonplace, 평범한
vulnerable, 취약한
contaminate, 오염시키다
equate, 같게 하다
fantastic, 환상적인
insight, 통찰력
stubborn, 고집스러운
dedication, 봉납
abundance, 풍부
incidence, 투사
cohesive, 결합력 있는
re-emit, 다시 방출하다
groundbreaking, 획기적인
unsuspecting, 순진한
fake, 가짜
sophisticate, 정교하다
jurisdiction, 관할권
chronicle, 연대기
intricate, 뒤얽힌
hinge, 돌쩌귀
aspiration, 포부
divert, 방향을 바꾸다
laborious, 힘드는
distracted, 빗나간
misperceive, 잘못 인식하다
innovator, 혁신가
seemingly, 겉으로는
verse, 절
prospective, 장래의
slideshow, 슬라이드쇼
inoculate, 접종하다
partnership, 공동
distract, 괴롭히다
contender, 경쟁자
nanotube, 나노튜브
inconsistent, 일관성 없는
vaccination, 백신 접종
disposable, 일회용의
consecutive, 연이은
tranquillity, 평온
prosecution, 기소
asset, 유산
minimise, 최소화하다
ingrain, 뿌리내리다
survivor, 살아남은 사람
saturate, 가득한
whopping, 엄청나게
physiology, 생리학
disproportionate, 불균형한
dispersal, 분산
apt, 적절한
therapeutic, 학의
eavesdrop, 엿듣다
habitable, 거주 가능
irritating, 화나게 하는
expertise, 전문적 지식
analyse, 분석하다
symbolic, 상징적인
hinder, 방해하다
suspend, 유예하다
wander, 떠돌다
passionate, 열렬한
parallel, 평행한
mimic, 모방하다
reminder, 알림
progression, 진행
respiratory, 호흡기
boundless, 무한한
spectacular, 장관의
discourse, 담화
inadequate, 부적당한
automate, 자동화하다
consultant, 컨설턴트
obsolete, 쓸모없는
confront, 직면하다
dominate, 빼어나게 솟다
algae, 조류
illusion, 환각
pathology, 병리학
expenditure, 지출
reckon, 세다
visually, 시각적으로
metaphor, 은유
shimmery, 반짝이는
utterance, 말
stimulus, 자극제
delve, 동굴
smartphone, 스마트폰
expressive, 나타내는
authentic, 진본인
unrivalled, 타의 추종을 불허하는
weird, 기이한
electorate, 유권자
symbolise, 상징하다
imbalance, 불균형
novelty, 진기함
overemphasize, 지나치게 강조하다
shareholder, 주주
engagement, 약혼
hone, 숫돌
geospatial, 지리공간
slither, 주르르 미끄러짐
mechanism, 기구
diagnose, 진단하다
provoke, 화나게 하다
instinctual, 본능적인
infection, 전염병
derision, 비웃음
responsive, 반응하는
definitive, 결정적인
esthetic, 심미적인
coordination, 조정
avid, 욕심 많은
progressive, 진보적인
perspective, 관점
hereditary, 유전적인
obsessive, 강박적인
massive, 엄청난
culpability, 과실
brownie, 브라우니
trio, 트리오
corporate, 기업
regimen, 섭생
rocky, 불안정한
odoriferous, 냄새나는
beholder, 보는 사람
counterpart, 짝
enigma, 수수께끼
obsess, 들리다
debris, 부스러기
royalty, 왕족
adjoin, 인접하다
sedentary, 앉아 있는
prosper, 번영하다
forage, 마초
unethical, 비윤리적인
statistical, 통계적
philanthropist, 박애주 의자
covet, 탐내다
contraction, 축소
exacerbate, 더욱 심하게 하다
invigilator, 감독관
enforcement, 시행
pest, 해충
disruptive, 파괴적인
interplay, 상호 작용
lone, 고독한
unwitting, 알지 못하는
cultivate, 기르다
rationalize, 합리화하다
facet, 한 면
revenue, 수익
strive, 애쓰다
disorient, 방향 감각을 잃다
diverge, 갈라지다
civilisation, 문명
suspicious, 의심스러운
conviction, 확신
deliberate, 고의의
fascinate, 호리다
venue, 장소
devastate, 황폐화하다
cumbersome, 번거로운
vaccine, 백신
proficiency, 진보
receptor, 수용체
freshwater, 담수
deterrent, 그만 두게 하다
articulate, 명확하게 표현하다
integrate, 통합하다
awareness, 의식
utopian, 유토피아적인
intake, 섭취
guaranty, 보증
hormone, 호르몬
depict, 묘사하다
baseline, 기준선
cavity, 공동
characterise, 특성화하다
tenacity, 끈기
mar, 마르
credibility, 믿을 수 있음
serum, 혈청
frigid, 몹시 추운
vocalisation, 발성
minimal, 최소한의
interactive, 대화형
momentum, 기세
commemorate, 기념하다
impetus, 운동량
assertive, 독단적
abide, 머물다
splurge, 과시
disperse, 해산하다
marvel, 놀라운 일
considerable, 많은
unorthodox, 비정통적인
sovereignty, 주권
stellar, 주요한
distinctive, 독특한
original, 원래의
domain, 도메인
flange, 플랜지
fabric, 구조
therapist, 치료사
microscopic, 미세한
nourishment, 자양물
demographic, 인구통계학적
unsustainable, 지속불가능
benchmark, 기준
deplete, 비우다
attire, 복장
sociable, 간친회
implicit, 절대적인
selective, 선택적
surveyor, 감정인
reintroduce, 다시 소개하다
perception, 지각
absorption, 흡수
domination, 지배
magnitude, 크기
vehicular, 차량
transcription, 전사
conflate, 융합하다
conditional, 가정 어구
harrow, 써레
genetic, 유전적
wetland, 습지
browser, 브라우저
peak, 정점
biological, 생물학적
payment, 지불
cognitive, 인지
humanity, 인류
particle, 입자
conservancy, 보존
galaxy, 은하
syllable, 음절
curriculum, 과정
sustainable, 지속 가능한
globalisation, 세계화
sociology, 사회학
reef, 암초
cocoanut, 코코넛
biodiversity, 생물 다양성
complementary, 보완적인
migration, 이주
cosmetic, 화장품
migrate, 이주하다
debtor, 채무자
fertility, 비옥
typically, 일반적으로
circulation, 순환
internationally, 국제적으로
microbiology, 미생물학
contribution, 기부금
obesity, 비만
mammal, 포유 동물
placebo, 위약
innovation, 혁신
proceeding, 진행
rodent, 설치류
hypothesis, 가설
copyright, 저작권
sensor, 감지기
cane, 지팡이
perceive, 감지하다
guideline, 지침
predominant, 우세한
ingredient, 재료
emerald, 에메랄드
indigenous, 원주민
moth, 나방
utilise, 활용하다
arena, 투기장
archeologist, 고고학자
implementation, 구현
profile, 윤곽
peacekeeping, 평화 유지
medalist, 메달리스트
flexibility, 유연성
shrimp, 새우
therapy, 요법
panel, 패널
iceberg, 빙산
penetrate, 침투하다
neuron, 뉴런
delegate, 대리자
Buddhist, 불교
enhancement, 상승
dioxide, 이산화물
coral, 산호
permanent, 영구적인
moveable, 움직일 수 있는
biomedical, 생물의학
quantitative, 양적
segment, 분절
herbicide, 살초제
agrarian, 농업인
maximise, 최대화하다
arctic, 북극
cottonwood, 미루나무
specialise, 전문화하다
mammoth, 거대한
diabetes, 당뇨병
herbal, 약초
renewable, 재생 가능
extinction, 소멸
submissive, 복종하는
editorial, 사설
architect, 건축가
voter, 유권자
seminar, 세미나
paraphrase, 의역
mortality, 인류
isolation, 격리
cosmic, 질서 있는
hue, 색조
intrigue, 음모
elite, 엘리트
indicator, 지시자
innovative, 혁신적인
linear, 선의
identifiable, 식별 가능
behavioural, 행동
unprecedented, 전례 없는
vocal, 보컬
morality, 도덕
accountant, 회계사
trait, 특성
entrepreneur, 기업가
truant, 무단 결석자
initiative, 계획
depression, 우울증
physiological, 생리학적
photography, 사진술
nectar, 넥타
prototype, 원기
posture, 자세
caterpillar, 무한 궤도
millennium, 밀레니엄
genome, 게놈
eruption, 분화
fundamental, 근본적인
clinical, 객관적인
cluster, 무리
audition, 오디션
pesticide, 농약
archeology, 고고학
pedestrian, 보행자
inadvertently, 무심코
peanut, 땅콩
calcium, 칼슘
psychologist, 심리학자
palm, 손바닥 안에 감추다
spike, 스파이크
pollen, 화분
nutritional, 영양가 있는
anthropologist, 인류학자
impair, 손상시키다
dwell, 머무르다
representation, 대표
complexity, 복잡성
dramatical, 극적인
toxin, 독소
miraculous, 기적적
invasive, 침략적인
glamour, 마법
entity, 실재
clown, 시골뜨기
pollinate, 수분하다
distortion, 왜곡
sizeable, 상당한
auditory, 귀의
peasantry, 소작농
reproductive, 생식
imperial, 장엄한
fertiliser, 비료
distraction, 혼란
biocontrol, 생물학적 방제
influx, 유입
advisor, 고문
ministerial, 장관
scenario, 대본
impressionism, 인상주의
designate, 가리키다
octopus, 문어
motherese, 어머니의
metropolis, 중심지
beetle, 갑충
folklore, 민속학
gravitational, 중력의
offspring, 자식
viper, 독사 같은 사람
cue, 큐
counsel, 조언
conceive, 배다
rumble, 끓다
dome, 둥근 천장
maple, 단풍나무
controversy, 논쟁
migrant, 이주자
interdisciplinary, 학제간
advertisement, 광고
metabolism, 대사
drowsy, 나른한
shipwreck, 난파선
allergic, 알레르기가 있는
unauthorised, 허가받지 않은
overdue, 기한이 지난
proximity, 근접성
variolation, 변두리
resultant, 결과
vibrant, 떠는
ramp, 비탈길
integrity, 진실성
irrigate, 관개하다
barcode, 바코드
canine, 송곳니
trade-off, 절충안
rampant, 맹렬한
geological, 지질학상의
endurance, 지구력
virtual, 가상
periodic, 주기적
elevation, 높이
epidemic, 감염병 유행
photographer, 사진작가
juror, 배심원
crucial, 중대한
disrupt, 방해하다
stance, 위치
everest, 에베레스트 산
iridescent, 무지개 빛깔의
gear, 기어
toxic, 독성
identity, 신원
flip, 튀기다
stroll, 떠돌아 다니다
duel, 결투
spawn, 알
salmon, 연어
developmental, 발달상의
bishop, 주교
artery, 동맥
stun, 충격
inevitable, 불가피한
potential, 잠재적인
revolutionise, 혁명을 일으키다
buck, 책임
socioeconomic, 사회 경제적
patent, 특허
cultivation, 경작
artefact, 인공물
simplistic, 단순한
bard, 음유 시인
exploration, 탐구
archive, 보관소
anthropology, 인류학
vicious, 나쁜
respondent, 응답자
entitlement, 권리
plausible, 그럴듯한
sentiment, 감정
insulin, 인슐린
sheer, 얇은
excavate, 파다
offence, 위반
console, 콘솔
gut, 거트
forum, 법정
exploratory, 탐구적인
accordion, 아코디언
tidal, 조수
landmark, 경계표
constitutional, 헌법상의
willow, 솜틀
sidewalk, 보도
beaver, 비버
soybean, 콩
remittance, 송금
archeological, 고고학의
lush, 풍부한
doctoral, 박사
peacemaker, 조정자
profitable, 유리한
biomass, 바이오매스
overture, 서장
sociological, 사회학적
demolish, 헐다
dynamics, 역학
cacophony, 불협화음
linger, 질질 끌게 하다
subterranean, 지하의
invert, 거꾸로 하다
superstition, 미신
divergent, 다른
migraine, 편두통
medication, 약물
plaque, 액자
extinct, 멸종된
recession, 경기 후퇴
flute, 플루트
falcon, 매
remnant, 남은
longevity, 장수
preconceive, 선입견을 품다
astronomical, 천문학적인
reproduction, 생식
breathtaking, 아슬 아슬한
fingermark, 지문
granular, 세분화된
feasibility, 실행할 수 있음
sniff, 맡다
sibling, 형제자매
hamstring, 햄스트링
inclusion, 포함
dominant, 우성
heritable, 물려 전할 수 있는
legitimate, 정당한
optimal, 최적의
naturalist, 자연주의자
connotation, 내포
geothermal, 지열
technological, 기술적
counterfactual, 반사실적인
soar, 날기
underway, 진행 중
observational, 관찰의
severity, 심각성
encompass, 에워 싸다
cumulative, 누적
temperate, 삼가는
constraint, 강제
housekeep, 가정부
alley, 골목
inheritance, 계승
conception, 임신
functionality, 기능성
asteroid, 소행성
integration, 완성
inequality, 불평등
neural, 신경
petal, 꽃잎
mighty, 거대한
verbal, 언쟁
radioactive, 방사성의
pertain, 관련된
computational, 계산적인
alert, 알리다
counsellor, 참사관
rancid, 썩은 냄새가 나는
purveyor, 납품업자
maternal, 모성
coverage, 적용 범위
maze, 미로
loom, 직조기
inquisitive, 알고 싶어하는
purchaser, 사는 사람
neuroscience, 신경과학
lesser, 보다 작은
grease, 유지
carefree, 평온한
demographer, 인구통계학자
bias, 편견
waterway, 수로
ward, 구
philosophical, 철학적인
cram, 벼락 공부
simulate, 시뮬레이션
guardian, 보호자
tract, 관
crab, 게
behold, 보다
paradoxically, 역설적이게도
wilderness, 황야
cello, 첼로
essence, 본질
legacy, 유산
spinal, 척추
proctor, 대리인
protestor, 시위자
neutrality, 중립
primates, 영장류
iridescence, 무지개 빛
crustacean, 갑각류
edible, 먹을 수 있는
problematic, 문제가 있는
sensory, 감각
spine, 척추
tsunami, 쓰나미
blunt, 무딘
livestock, 가축
backbone, 등뼈
hatchling, 부화한 것
bestow, 두다
fringe, 주변
hibernation, 동면
charter, 전세
vintage, 포도 수확
colonial, 식민지 주민
architectural, 건축
sophistication, 복잡화
pollination, 수분
expend, 둥근 기둥 등에 감다
mutation, 돌연변이
anatomy, 해부
sitter, 앉아 있는 엽조
egalitarian, 평등주의자
sprawl, 쭉 뻗다
payroll, 급여
bully, 괴롭히는 사람
trout, 송어
ruthless, 무자비한
quest, 탐구
legislation, 법률 제정
cohort, 보병대
mangle, 압착 롤러
infamous, 악명 높은
duckling, 오리 새끼
confrontation, 직면
gem, 보석
pathologist, 병리학자
squeak, 쥐 우는 소리
arthropod, 절지동물
deficit, 부족
accredit, 믿다
reside, 살다
ceramic, 세라믹
spontaneous, 자발적인
plankton, 플랑크톤
rhetorical, 수사학적인
disciplinary, 징계
unaffordable, 감당할 수 없는
rearward, 후방
confer, 봉하다
invoice, 송장
camouflage, 위장
traumatic, 충격적인
outgo, 경비
perk, 여과기
chimp, 침팬지
residue, 잔여물
welter, 혼란
inversion, 반전
grail, 큰 쟁반
tilt, 경사
profitability, 수익성
alumnus, 학생
fanatic, 광신자
subspecies, 아종
membrane, 막
commodity, 상품
multitasking, 멀티태스킹
recoup, 빼다
gusher, 분출물
clam, 대합
grin, 이를 드러내고 웃다
orientation, 정위
excitable, 흥분되는
terminal, 단말기
judicial, 사법
ideology, 관념론
ornateness, 화려함
locust, 메뚜기
adjacent, 인접한
saturation, 포화
paradoxical, 역설적인
displacement, 배수량
consistency, 일관성
foundry, 주조
militancy, 호전성
allergy, 알레르기
flotilla, 소함대
genetics, 유전학
boulevard, 큰길
taxonomist, 분류학자
estate, 사유지
seine, 예망
appendix, 충수
decimal, 소수
competency, 능력
eccentric, 별난
mosaic, 모자이크
wane, 쇠미
hostility, 적의
vulnerability, 취약성
holistic, 총체적인
geneticist, 유전학자
fitting, 입어 보기
warehouse, 창고
embryonic, 배아의
scrutiny, 정밀한 조사
explanatory, 설명적인
warfare, 전쟁
fishery, 어업
institutionalise, 제도화하다
intimacy, 친밀
multinational, 다국적
clan, 씨족
inadequacy, 부적당
civic, 시민
inverter, 인버터
builder, 건축업자
decimate, 대량 학살하다
systematical, 체계적인
birch, 자작나무
extensive, 광범위한
woodcut, 목판화
inclusive, 포함한
incredible, 믿을 수 없는
foible, 약점
formality, 형식
phoenix, 피닉스
brutal, 잔인한
deforestation, 삼림벌채
parameter, 매개변수
poke, 찌름
saturn, 토성
electoral, 선거인
predictable, 예측 가능한
dissection, 해부
malarial, 말라리아
strand, 바닷가
mint, 박하
professional, 전문적인
inexplicit, 설명할 수 없는
scramble, 스크램블
colonise, 식민지화하다
refrain, 그만두다
dun, 암갈색
acquisition, 인수
haughty, 거만한
bizarre, 기괴한
fret, 프렛
evergreen, 상록수
onset, 습격
bacterial, 박테리아
brainstorm, 영감
rebellious, 반항적인
instrumentation, 수단
papyrus, 파피루스
universality, 보편성
gable, 박공
deception, 기만
spew, 내뿜다
unadorned, 꾸미지 않은
explicit, 명백한
ethics, 윤리학
crocodile, 악어
determinant, 결정자
modification, 가감
credible, 신뢰할 수 있는
pharmacy, 약국
incompatible, 호환되지 않는
overweight, 초과 중량
literate, 교양 있는
kidnap, 채가다
antifreeze, 부동액
forefront, 중심
ongoing, 전진
dent, 찌그러뜨리다
fossilise, 화석화하다
infestation, 침입
Buddhism, 불교
chimpanzee, 침팬지
prodigy, 신동
unravel, 풀다
reassure, 안심시키다
farmyard, 농장 구내
individualise, 개별화하다
subsequent, 후속
acupuncturist, 침술사
unintentional, 의도하지 않은
occupational, 직업적인
horrify, 무섭게 하다
diplomatic, 외교적
patchy, 고르지 못한
accessibility, 접근성
descendant, 자손
vocational, 직업적인
isles, 섬
involuntary, 비자발적인
exponential, 지수
pottery, 도기류
subsurface, 지하
precede, 앞서다
distinguish, 구별하다
inhere, 여기에
hail, 빗발
forensics, 법의학
panorama, 파노라마
generosity, 관대
absenteeism, 장기 결석
schematic, 개략도
extraneous, 관계 없는
nestle, 기분 좋게 눕다
representational, 표현적인
legislator, 입법자
stall, 마구간
misrepresent, 잘못 전하다
digitise, 디지털화하다
omniscient, 전지한
critter, 동물
termite, 흰개미
moisturiser, 보습제
inflow, 유입
queasy, 메스꺼운
subsidiary, 자회사
projection, 투사
jewellery, 보석류
unveil, 밝히다
bittern, 간수
validate, 검증하다
intersection, 교차로
rupture, 파열
indorse, 인도
outflow, 유출
transplant, 이식
phosphorus, 인
astrophysics, 천체 물리학
disarm, 무장해제
downstream, 하류
conduit, 도관
dainty, 맛좋은
gladiator, 검투사
elasticity, 탄력
multifaceted, 다면적인
acclaim, 환호
cheater, 사기꾼
accelerator, 촉진 신경
generalise, 일반화하다
boomer, 부머
medicinal, 약용
marsh, 습지
colonist, 개척자
cocktail, 칵테일
flashy, 불 같은
reliant, 의존하는
boyhood, 소년기
botany, 식물학
carbohydrate, 탄수화물
redouble, 더블
suppress, 막다
outdated, 구식
edict, 명령
terrestrial, 지구의
fictionalize, 허구화하다
parasitic, 기생하는
airbag, 에어백
cone, 원뿔
symphony, 교향곡
greenish, 녹색을 띤
ally, 동맹국
overstate, 과장하다
foliage, 잎
libretto, 가사
intimate, 친밀한
interface, 인터페이스
skeletal, 골격의
deem, 생각하다
monetary, 통화의
overwhelming, 압도적이다
multiplier, 승수
fungus, 진균류
syllabus, 강의 계획서
fodder, 마초
fieldman, 현장수
comic, 만화 잡지
drab, 단조로운
collide, 충돌하다
hallmark, 순도 검증 각인
schism, 분리
biosphere, 생물권
mimicry, 흉내
disposition, 처분
sponsorship, 후원
doctrine, 교의
potion, 물약
proverb, 속담
intuitive, 직관적
census, 인구 조사
inflation, 인플레이션
forecaster, 예측가
ashore, 해변
internationalisation, 국제화
pun, 말장난
swinge, 그네
concoct, 섞어서 만들다
amendment, 개정
distaste, 당신은 거리를 두었습니다
pitiful, 불쌍한
recreational, 레크리에이션
snug, 아늑한
dividend, 피제수
latent, 숨어 있는
refrigerate, 냉장보관하다
maize, 옥수수
emergent, 나타나는
finite, 한정된
pragmatic, 바쁜
instructional, 교육적인
inconceivable, 상상할 수 없는
stylize, 양식화하다
contributor, 기부자
catastrophic, 재앙적인
consensus, 의견 일치
communal, 공동
stride, 보폭
drone, 무인 비행기
commensurate, 상응하는
allege, 주장하다
overgrow, 너무 자라다
stagnate, 괴게 하다
prevalence, 널리 퍼짐
portrayal, 초상
detector, 탐지기
antagonistic, 적대적인
alleyway, 골목
java, 자바
unguarded, 지키지 않는
sensitivity, 감광도
geographical, 지리적
chequer, 체커
fictional, 꾸며낸
honorary, 명예
municipal, 지방 자치 단체
subcontract, 하청
exploitation, 착취
glorify, 영광을 돌리다
statistician, 통계학자
innumerable, 셀 수 없는
intense, 극심한
compassion, 동정심
administer, 관리하다
sideline, 부업
legislature, 입법부
compliance, 규정 준수
raze, 파괴하다
creditor, 채권자
alleviate, 덜다
symbiosis, 공생
spectrum, 스펙트럼
immense, 엄청난
lobster, 새우
underlie, 기초가 되는
unconstrained, 무제한
partake, 함께 하다
global, 글로벌
dwarf, 난쟁이
barricade, 바리케이드
foil, 박
glucose, 포도당
separatist, 분리파
idleness, 게으름
animation, 생기
inoculation, 접종
fuse, 퓨즈
grasshopper, 메뚜기
impartial, 공정한
intricacy, 복잡함
uninhabitable, 사람이 살 수 없는
glacier, 빙하
undesirable, 탐탁지 않은
brilliance, 광휘
strife, 싸움
speck, 작은 얼룩
dictatorship, 절대권
draught, 초안
punchline, 펀치라인
hemisphere, 반구
tang, 당나라
hydraulic, 유압
articulation, 관절
aboriginal, 원주민
filtration, 여과법
worsen, 더 나쁘게 하다
charcoal, 숯
allure, 매력
excavation, 발굴
monolingual, 단일 언어
quantify, 정량화하다
irresponsibility, 무책임
generalist, 일반주의자
folktale, 민화
particoloured, 각양각색의
arbitration, 중재
mistreatment, 학대
experimenter, 실험자
coincide, 일치하다
embroider, 수놓다
pasture, 목장
poster, 포스터
truancy, 무단 결석
ubiquitous, 어디에나 있는
foster, 기르다
autonomy, 자치
sensible, 현명한
tillage, 경작
theorise, 이론을 세우다
grimace, 얼굴을 찡그리다
premiss, 전제
civilise, 문명화하다
execution, 실행
forestry, 임학
facetious, 우스운
verdict, 평결
parliament, 의회
bust, 흉상
outworked, 야근하다
introspection, 내성
justification, 정당화
cruelty, 잔학
binge, 파티
emanate, 나다
celestial, 중국인
locality, 소재지
script, 스크립트
formalistic, 형식주의적인
impulse, 충동
monastery, 수도원
hum, 흠
encounter, 맞닥뜨리다
campaigner, 운동가
autopsy, 검시
